Label,Element,Concentration
36631 B,Ag 328.068,-0.01
36631 B,Al 308.215,13.37
36631 B,As 188.980,-0.03
36631 B,As 193.696,0.19
36631 B,B 249.772,0.28
36631 B,Ca 422.673,319.98
36631 B,Ca 430.253,331.40
36631 B,Ca 643.907,316.10
36631 B,Cd 214.439,0.01
36631 B,Co 231.406,-0.03
36631 B,Co 258.033,0.06
36631 B,Cr 266.602,0.21
36631 B,Cr 267.716,0.17
,,
36632 A,Ag 328.068,0.01
36632 A,Al 308.215,9.69
36632 A,As 188.980,0.24
36632 A,As 193.696,0.37
36632 A,B 249.772,0.19
36632 A,Ca 422.673,304.11
36632 A,Ca 430.253,313.80
36632 A,Ca 643.907,300.34
36632 A,Cd 214.439,0.01
36632 A,Co 231.406,-0.01
36632 A,Co 258.033,0.04
36632 A,Cr 266.602,0.17
36632 A,Cr 267.716,0.12
,,
36632 B,Ag 328.068,0.00
36632 B,Al 308.215,8.07
36632 B,As 188.980,0.12
36632 B,As 193.696,0.25
36632 B,B 249.772,0.13
36632 B,Ca 422.673,255.08
36632 B,Ca 430.253,264.50
36632 B,Ca 643.907,251.64
36632 B,Cd 214.439,0.01
36632 B,Co 231.406,-0.02
36632 B,Co 258.033,0.05
36632 B,Cr 266.602,0.17
36632 B,Cr 267.716,0.12
,,
36633 A,Ag 328.068,0.00
36633 A,Al 308.215,0.26
36633 A,As 188.980,0.03
36633 A,As 193.696,0.08
36633 A,B 249.772,0.06
36633 A,Ca 422.673,210.66
36633 A,Ca 430.253,217.74
36633 A,Ca 643.907,206.78
36633 A,Cd 214.439,0.00
36633 A,Co 231.406,0.06
36633 A,Co 258.033,0.04
36633 A,Cr 266.602,0.09
36633 A,Cr 267.716,0.02
,,
36633 B,Ag 328.068,0.01
36633 B,Al 308.215,0.31
36633 B,As 188.980,-0.02
36633 B,As 193.696,0.05
36633 B,B 249.772,0.10
36633 B,Ca 422.673,217.56
36633 B,Ca 430.253,224.40
36633 B,Ca 643.907,212.73
36633 B,Cd 214.439,0.00
36633 B,Co 231.406,-0.02
36633 B,Co 258.033,0.01
36633 B,Cr 266.602,0.05
36633 B,Cr 267.716,0.03
,,
90124 A,Ag 328.068,-0.58
90124 A,Al 308.215,7657.59
90124 A,As 188.980,18.05
90124 A,As 193.696,10.90
90124 A,B 249.772,43.92
90124 A,Ca 422.673,72857.58
90124 A,Ca 430.253,75821.77
90124 A,Ca 643.907,71478.04
90124 A,Cd 214.439,1.38
90124 A,Co 231.406,18.32
90124 A,Co 258.033,14.54
90124 A,Cr 266.602,476.99
90124 A,Cr 267.716,475.85
,,
90124 B,Ag 328.068,0.09
90124 B,Al 308.215,9213.78
90124 B,As 188.980,21.89
90124 B,As 193.696,7.94
90124 B,B 249.772,48.81
90124 B,Ca 422.673,80592.88
90124 B,Ca 430.253,83938.34
90124 B,Ca 643.907,79469.04
90124 B,Cd 214.439,1.44
90124 B,Co 231.406,21.96
90124 B,Co 258.033,14.99
90124 B,Cr 266.602,541.15
90124 B,Cr 267.716,531.90
,,
36629 A,Ag 328.068,0.01
36629 A,Al 308.215,306.72
36629 A,As 188.980,0.55
36629 A,As 193.696,1.05
36629 A,B 249.772,1.61
36629 A,Ca 422.673,4010.66
36629 A,Ca 430.253,4194.53
36629 A,Ca 643.907,3960.67
36629 A,Cd 214.439,0.13
36629 A,Co 231.406,1.03
36629 A,Co 258.033,0.96
36629 A,Cr 266.602,3.65
36629 A,Cr 267.716,3.64
,,
