Label,Element,Average,STD,Aa,Bb,A,B,Ar,Br,R,C,b,Cr
36586,Ca 422.673,62897.869999999995,4139.756650456637,59970.62,65825.12,59970.62,65825.12,,,,,65825.12,
36586,Ca 430.253,66932.845,4077.8211674925155,64049.39,69816.3,64049.39,69816.3,,,,,69816.3,
36586,Ca 643.907,,,,,,,,,,,,
36586,Cd 214.439,0.6,0.5374011537017761,0.22,0.98,0.22,0.98,,,,,0.98,
36586,Co 231.497,13.545000000000002,3.995153313703994,10.72,16.37,10.72,16.37,,,,,16.37,
36586,Co 258.033,3.735,0.06363961030678918,3.78,3.69,3.78,3.69,,,,,3.69,
36586,Cr 266.602,41.875,1.2657211383239246,40.98,42.77,40.98,42.77,,,,,42.77,
36586,Cr 267.716,45.22,5.303300858899107,41.47,48.97,41.47,48.97,,,,,48.97,
36586,Cr 357.868,51.239999999999995,6.590235200658623,46.58,55.9,46.58,55.9,,,,,55.9,
36586,Cu 324.754,57.739999999999995,3.0547012947258856,55.58,59.9,55.58,59.9,,,,,59.9,
36586,Cu 327.395,57.295,2.5950818869546306,55.46,59.13,55.46,59.13,,,,,59.13,
36586,Fe 238.204,13785.195,957.132667946299,13108.4,14461.99,13108.4,14461.99,,,,,14461.99,
36586,Hg 184.887,,,,,,,,,,,,
36586,Hg 194.164,1.24,1.5697770542341354,0.13,2.35,0.13,2.35,,,,,2.35,
36586,K 766.491,39474.075,2901.7894532942946,37422.2,41525.95,37422.2,41525.95,,,,,41525.95,
36586,Mg 279.553,4877.63,288.669272351596,4673.51,5081.75,4673.51,5081.75,,,,,5081.75,
36586,Mg 285.213,4928.25,261.91235175149694,4743.05,5113.45,4743.05,5113.45,,,,,5113.45,
36586,Mg 383.230,,,,,,,,,,,,
36586,Mn 257.610,412.82500000000005,20.739441892201427,398.16,427.49,398.16,427.49,,,,,427.49,
36586,Mn 346.032,,,,,,,,,,,,
36586,Mo 202.032,6.8100000000000005,1.04651803615609,6.07,7.55,6.07,7.55,,,,,7.55,
36586,Mo 204.598,13.775,4.2072853480599575,10.8,16.75,10.8,16.75,,,,,16.75,
36586,Mo 313.259,21.315,2.7789296500631315,23.28,19.35,23.28,19.35,,,,,19.35,
36586,Na 588.995,33364.134999999995,2233.389697309897,31784.89,34943.38,31784.89,34943.38,,,,,34943.38,
36586,Na 589.592,34345.935,2465.71670133655,32602.41,36089.46,32602.41,36089.46,,,,,36089.46,
36586,Ni 225.385,58.945,3.5426049737446066,56.44,61.45,56.44,61.45,,,,,61.45,
36586,Ni 227.877,34.24,4.299209229614211,37.28,31.2,37.28,31.2,,,,,31.2,
36586,P 213.618,14677.82,767.734116605482,14134.95,15220.69,14134.95,15220.69,,,,,15220.69,
36586,P 215.294,,,,,,,,,,,,
36586,P 255.491,,,,,,,,,,,,
36586,Pb 220.353,26.04,3.6203867196751243,28.6,23.48,28.6,23.48,,,,,23.48,
36586,Pb 266.315,,,,,,,,,,,,
36586,Pb 363.957,,,,,,,,,,,,
36586,Sb 206.834,1.0699999999999998,6.462955980045044,5.64,-3.5,5.64,-3.5,,,,,-3.5,
36586,Si 251.611,7702.105,623.4489779043668,8142.95,7261.26,8142.95,7261.26,,,,,7261.26,
36586,Sn 189.925,9.98,3.6203867196751225,12.54,7.42,12.54,7.42,,,,,7.42,
36586,Ti 336.122,254.595,38.869659761824494,227.11,282.08,227.11,282.08,,,,,282.08,
36586,V 319.068,60.11,2.276883835420682,61.72,58.5,61.72,58.5,,,,,58.5,
36586,Zn 213.857,278.83000000000004,11.808683245815336,270.48,287.18,270.48,287.18,,,,,287.18,
36586,Zn 472.215,,,,,,,,,,,,
,,,,,,,,,,,,,
36587,Ag 328.068,,,,,,,,,,,,
36587,Al 308.215,1.0350000000000001,0.09192388155425125,0.97,1.1,0.97,1.1,,,,,1.1,
36587,As 188.980,,,,,,,,,,,,
36587,As 193.696,0.045,0.021213203435596427,0.03,0.06,0.03,0.06,,,,,0.06,
36587,B 249.772,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
36587,Ca 422.673,662.3,5.713422791987333,666.34,658.26,666.34,658.26,,,,,658.26,
36587,Ca 430.253,721.565,13.710800487207147,731.26,711.87,731.26,711.87,,,,,711.87,
36587,Ca 643.907,,,,,,,,,,,,
36587,Cd 214.439,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
36587,Co 231.497,0.01,0.0,0.01,0.01,0.01,0.01,,,,,0.01,
36587,Co 258.033,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
36587,Cr 266.602,0.03,0.0,0.03,0.03,0.03,0.03,,,,,0.03,
36587,Cr 267.716,0.035,0.007071067811865477,0.03,0.04,0.03,0.04,,,,,0.04,
36587,Cr 357.868,0.09,0.0,0.09,0.09,0.09,0.09,,,,,0.09,
36587,Cu 324.754,0.035,0.007071067811865477,0.03,0.04,0.03,0.04,,,,,0.04,
36587,Cu 327.395,0.02,0.0,0.02,0.02,0.02,0.02,,,,,0.02,
36587,Fe 238.204,2.295,0.14849242404917495,2.19,2.4,2.19,2.4,,,,,2.4,
36587,Hg 184.887,,,,,,,,,,,,
36587,Hg 194.164,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,
